ic,family,run,init,amp_K,lead_hr,stat,pole,value,p_hPa,r_km
axisym,dq_bl,sweepdqbl_1K_24h_init2025092200,2025092200,1.0,24,p95,lowlevel,0.006281,892.33,51.89
axisym,dq_bl,sweepdqbl_1K_24h_init2025092200,2025092200,1.0,24,p90,lowlevel,0.004634,875.63,60.09
axisym,dq_bl,sweepdqbl_1K_24h_init2025092200,2025092200,1.0,24,max,upperlevel,-0.013148,300.0,168.47
axisym,dq_bl,sweepdqbl_1K_24h_init2025092200,2025092200,1.0,24,p95,upperlevel,-0.005083,337.23,183.42
axisym,dq_bl,sweepdqbl_1K_24h_init2025092200,2025092200,1.0,24,p90,upperlevel,-0.004128,339.42,188.4
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025091700,2025091700,1.5,24,max,lowlevel,0.000232,850.0,38.72
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025091700,2025091700,1.5,24,p95,lowlevel,0.00014,837.49,45.77
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025091700,2025091700,1.5,24,p90,lowlevel,0.000111,842.74,59.89
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025091700,2025091700,1.5,24,max,upperlevel,-0.000328,250.0,256.19
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025091700,2025091700,1.5,24,p95,upperlevel,-0.000174,307.13,207.45
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025091700,2025091700,1.5,24,p90,upperlevel,-0.00014,309.34,193.17
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092000,2025092000,1.5,24,max,lowlevel,0.054559,850.0,0.0
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092000,2025092000,1.5,24,p95,lowlevel,0.034467,824.18,44.9
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092000,2025092000,1.5,24,p90,lowlevel,0.023449,830.14,53.78
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092000,2025092000,1.5,24,max,upperlevel,-0.056292,400.0,156.77
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092000,2025092000,1.5,24,p95,upperlevel,-0.036534,355.03,139.95
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092000,2025092000,1.5,24,p90,upperlevel,-0.029386,350.87,149.72
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092100,2025092100,1.5,24,max,lowlevel,0.09301,850.0,55.66
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092100,2025092100,1.5,24,p95,lowlevel,0.06388,790.6,57.69
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092100,2025092100,1.5,24,p90,lowlevel,0.048864,796.11,65.74
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092100,2025092100,1.5,24,max,upperlevel,-0.095154,300.0,161.66
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092100,2025092100,1.5,24,p95,upperlevel,-0.054499,365.83,157.37
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092100,2025092100,1.5,24,p90,upperlevel,-0.04274,369.65,157.01
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092200,2025092200,1.5,24,max,lowlevel,0.01538,925.0,38.43
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092200,2025092200,1.5,24,p95,lowlevel,0.009416,892.31,51.53
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092200,2025092200,1.5,24,p90,lowlevel,0.006952,875.73,60.06
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092200,2025092200,1.5,24,max,upperlevel,-0.019765,300.0,168.47
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092200,2025092200,1.5,24,p95,upperlevel,-0.007637,336.89,183.37
axisym,dq_bl,sweepdqbl_1p5K_24h_init2025092200,2025092200,1.5,24,p90,upperlevel,-0.006206,336.44,188.19
axisym,dq_bl,sweepdqbl_2K_24h_init2025091700,2025091700,2.0,24,max,lowlevel,0.000259,850.0,38.72
axisym,dq_bl,sweepdqbl_2K_24h_init2025091700,2025091700,2.0,24,p95,lowlevel,0.00016,825.44,48.0
axisym,dq_bl,sweepdqbl_2K_24h_init2025091700,2025091700,2.0,24,p90,lowlevel,0.00013,837.76,63.6
axisym,dq_bl,sweepdqbl_2K_24h_init2025091700,2025091700,2.0,24,max,upperlevel,-0.000307,400.0,149.21
axisym,dq_bl,sweepdqbl_2K_24h_init2025091700,2025091700,2.0,24,p95,upperlevel,-0.000203,343.45,176.97
axisym,dq_bl,sweepdqbl_2K_24h_init2025091700,2025091700,2.0,24,p90,upperlevel,-0.000166,331.37,173.03
axisym,dq_bl,sweepdqbl_2K_24h_init2025092000,2025092000,2.0,24,max,lowlevel,0.07274,850.0,0.0
axisym,dq_bl,sweepdqbl_2K_24h_init2025092000,2025092000,2.0,24,p95,lowlevel,0.045891,824.34,44.88
axisym,dq_bl,sweepdqbl_2K_24h_init2025092000,2025092000,2.0,24,p90,lowlevel,0.031197,830.26,53.76
axisym,dq_bl,sweepdqbl_2K_24h_init2025092000,2025092000,2.0,24,max,upperlevel,-0.074578,400.0,156.77
axisym,dq_bl,sweepdqbl_2K_24h_init2025092000,2025092000,2.0,24,p95,upperlevel,-0.048533,353.3,138.3
axisym,dq_bl,sweepdqbl_2K_24h_init2025092000,2025092000,2.0,24,p90,upperlevel,-0.039052,349.96,149.83
axisym,dq_bl,sweepdqbl_2K_24h_init2025092100,2025092100,2.0,24,max,lowlevel,0.125442,700.0,84.35
axisym,dq_bl,sweepdqbl_2K_24h_init2025092100,2025092100,2.0,24,p95,lowlevel,0.08652,790.15,58.19
axisym,dq_bl,sweepdqbl_2K_24h_init2025092100,2025092100,2.0,24,p90,lowlevel,0.066178,794.7,65.89
axisym,dq_bl,sweepdqbl_2K_24h_init2025092100,2025092100,2.0,24,max,upperlevel,-0.12827,300.0,161.66
axisym,dq_bl,sweepdqbl_2K_24h_init2025092100,2025092100,2.0,24,p95,upperlevel,-0.073099,365.94,156.79
axisym,dq_bl,sweepdqbl_2K_24h_init2025092100,2025092100,2.0,24,p90,upperlevel,-0.057416,370.86,156.03
axisym,dq_bl,sweepdqbl_2K_24h_init2025092200,2025092200,2.0,24,max,lowlevel,0.020493,925.0,38.43
